order_no,order_date,buyer,ship_city,ship_state,sku,description,quantity,item_total,shipping_fee,cod,order_status
402-9977250-1302757,"Tue, 21 Dec, 2021, 4:15 pm IST",Mitra,"CHENNAI,",TAMIL NADU,SKU:  SB-WDQN-SDN9,Traditional Block-Printed Women's 100% Pure Leather Shoulder Bag: Double Handle Red Handbag | Multi-pocket Shantiniketan Leather Bag for Women,3,"₹3,897.00",₹241.90,,Delivered to buyer
404-7450458-9882702,"Mon, 6 Dec, 2021, 11:29 pm IST",Arpita,"Thane District,",MAHARASHTRA,SKU:  4V-I7XD-JQVR,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Small",1,₹349.00,₹84.96,,Delivered to buyer
402-4007700-9289906,"Mon, 13 Dec, 2021, 1:03 pm IST",Valli,"HYDERABAD,",TELANGANA,SKU:  8V-OQ14-I63T,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Yellow, Larg",1,₹449.00,₹84.96,,Delivered to buyer
408-9442756-9477100,"Wed, 2 Feb, 2022, 11:58 am IST",amit,"INDORE,",MADHYA Pradesh,SKU:  CR-6E69-UXFW,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Large",1,₹449.00,₹84.96,,Delivered to buyer
403-7552858-2817166,"Sat, 4 Dec, 2021, 2:28 pm IST",Anastasiia,"Visakhapatnam,",ANDHRA PRADESH,SKU:  W4-JQ2J-ZUF2,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (O,1,₹399.00,₹84.96,,Delivered to buyer
404-9326436-3517161,"Wed, 29 Dec, 2021, 1:03 pm IST",Santhosh,"BENGALURU,",KARNATAKA,SKU:  4V-I7XD-JQVR,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Small",1,₹349.00,₹84.96,,Delivered to buyer
405-8264291-1183552,"Tue, 11 Jan, 2022, 1:46 pm IST",Aditi,"NEW DELHI,",DELHI,SKU:  94-TSV3-EIW6,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Green, Large",1,₹449.00,₹84.96,,Delivered to buyer
403-9089686-7304307,"Mon, 6 Dec, 2021, 10:25 pm IST",J,"BENGALURU,",KARNATAKA,SKU:  ST-27BR-VEMQ,Stunning Women's Finished Leather Handbag | Sleek and Elegant Party Bag with Glamorous Steel Rings and Multiple Pockets (Pink),1,₹899.00,₹114.46,,Delivered to buyer
403-3882329-3552343,"Thu, 20 Jan, 2022, 11:49 am IST",maha,"SALEM,",TAMIL NADU,SKU:  3F-4R9N-Z8NJ,Set of 3 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Yellow),1,₹475.00,₹84.96,,Delivered to buyer
407-4026447-7131527,"Sat, 4 Dec, 2021, 10:32 pm IST",chandrima,"BENGALURU,",KARNATAKA,SKU:  NV-1DWM-41VX,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Red),1,₹549.00,₹84.96,,Delivered to buyer
171-5230421-3237921,"Wed, 8 Dec, 2021, 12:15 am IST",Geetika,"GURUGRAM,",HARYANA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,,Delivered to buyer
403-2445664-7853913,"Wed, 1 Dec, 2021, 12:58 pm IST",vvijayakakshmi,"CHENNAI,",TAMIL NADU,SKU:  AY-Z7BT-BMVM,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Floral Block Print Ladies Wallet (Red, 1 pc)",1,₹399.00,₹84.96,,Delivered to buyer
407-8892478-3863557,"Mon, 14 Feb, 2022, 7:12 pm IST",Tapan,"GHAZIABAD,",UTTAR PRADESH,SKU:  NN-AGEZ-5DUM,Colourful and Bright Peacock Shaped Piggy Coin Bank | Block Printed West Bengal's 100% Leather Handicrafts (Shantiniketan Art) | Money Bank for Kids |,1,₹449.00,₹84.96,,Delivered to buyer
171-3919731-3769907,"Tue, 25 Jan, 2022, 11:32 am IST",Deepali,"JODHPUR,",RAJASTHAN,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,,₹84.96,,Returned to seller
171-3733329-6916359,"Fri, 10 Dec, 2021, 5:53 pm IST",Shahin,"MUMBAI,",MAHARASHTRA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,Cash On Delivery,Delivered to buyer
171-7361479-0297146,"Fri, 10 Dec, 2021, 11:38 am IST",Amol,"PUNE,",MAHARASHTRA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",4,"₹1,796.00",₹84.96,,Delivered to buyer
408-9200041-8517139,"Sun, 2 Jan, 2022, 5:51 pm IST",ROHIT,"SECUNDERABAD,",TELANGANA,SKU:  CR-6E69-UXFW,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Large",1,₹449.00,₹84.96,,Delivered to buyer
408-3276798-6731502,"Tue, 30 Nov, 2021, 7:49 pm IST",Kumar,"BENGALURU,",KARNATAKA,SKU:  NN-AGEZ-5DUM,Colourful and Bright Peacock Shaped Piggy Coin Bank | Block Printed West Bengal's 100% Leather Handicrafts (Shantiniketan Art) | Money Bank for Kids |,1,₹449.00,₹84.96,,Delivered to buyer
405-7588425-0136360,"Sat, 4 Dec, 2021, 12:43 am IST",Gargi,"Kolkata,",WEST BENGAL,SKU:  NV-1DWM-41VX,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Red),1,₹549.00,₹47.20,,Delivered to buyer
406-6034782-6293117,"Fri, 31 Dec, 2021, 9:55 pm IST",NANDINI,"KOLKATA,",WEST BENGAL,SKU:  W4-JQ2J-ZUF2,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (O,1,₹399.00,₹47.20,,Delivered to buyer
403-1376026-4537157,"Sun, 30 Jan, 2022, 7:13 pm IST",ONGC,"VADODARA,",GUJARAT,SKU:  5B-NW9K-L3AO,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Red, Small)",1,₹349.00,₹84.96,,Delivered to buyer
402-3108828-3083537,"Wed, 29 Dec, 2021, 8:44 am IST",RAJAT,PUNJAB,"MOHALI,",SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,Cash On Delivery,Delivered to buyer
171-5110229-2797921,"Sun, 16 Jan, 2022, 5:23 pm IST",ria,"KOLKATA,",WEST BENGAL,SKU:  3F-4R9N-Z8NJ,Set of 3 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Yellow),1,₹475.00,₹47.20,,Delivered to buyer
171-1659664-7877932,"Wed, 23 Feb, 2022, 9:29 pm IST",Saba,"AMROHA,",UTTAR PRADESH,SKU:  CR-6E69-UXFW,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Large",1,₹449.00,₹84.96,Cash On Delivery,Delivered to buyer
404-5325305-3342738,"Wed, 9 Feb, 2022, 7:17 pm IST",Poonam,"MUMBAI,",MAHARASHTRA,SKU:  5B-NW9K-L3AO,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Red, Small)",1,₹349.00,₹84.96,,Delivered to buyer
408-4117801-6732368,"Thu, 13 Jan, 2022, 7:35 pm IST",VAISHALI,"LUCKNOW,",UTTAR PRADESH,SKU:  PG-WS6J-89DG,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Blue, Large)",1,₹449.00,₹84.96,,Delivered to buyer
405-0409316-6263510,"Mon, 20 Dec, 2021, 8:29 pm IST",Faruk,"BURDWAN,",WEST BENGAL,SKU:  3F-4R9N-Z8NJ,Set of 3 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Yellow),1,₹475.00,₹60.18,,Delivered to buyer
407-0369001-6370762,"Sun, 9 Jan, 2022, 12:28 am IST",pavithra,"chennai,",TAMIL NADU,SKU:  G4-B5GQ-8V30,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (B,1,₹399.00,₹84.96,,Delivered to buyer
402-1369108-5988348,"Thu, 9 Dec, 2021, 11:29 am IST",Mariatta,"Kodambakkam, Chennai,",TAMIL NADU,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,₹449.00,₹84.96,Cash On Delivery,Delivered to buyer
405-7352232-5348320,"Sun, 19 Dec, 2021, 7:41 am IST",DIVYA,"BENGALURU,",KARNATAKA,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,,₹84.96,,Returned to seller
171-8930811-8770760,"Mon, 21 Feb, 2022, 7:52 pm IST",Shishir,"ALLAHABAD,",UTTAR PRADESH,SKU:  4V-I7XD-JQVR,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Small",1,₹349.00,₹60.18,,Delivered to buyer
404-5892855-1521926,"Wed, 15 Dec, 2021, 11:11 am IST",veena,"BENGALURU,",KARNATAKA,SKU:  V6-VUWR-856W,Bright & Colorful Shantiniketan Leather Piggy Bank for Kids/Adults | Light-Weight Handcrafted Owl Shaped Coin Bank (Black),1,₹549.00,₹84.96,,Delivered to buyer
403-0543607-1044310,"Tue, 1 Feb, 2022, 6:45 am IST",Gita,"CHENNAI,",TAMIL NADU,SKU:  CR-6E69-UXFW,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Large",1,₹449.00,₹84.96,,Delivered to buyer
171-4338001-7654754,"Sun, 9 Jan, 2022, 9:33 pm IST",srisoma,"NEW DELHI,",DELHI,SKU:  U1-8YOK-510E,100% Leather Cat Shaped Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas (Blu,1,₹449.00,₹84.96,,Delivered to buyer
408-5721047-6522728,"Sun, 12 Dec, 2021, 7:09 pm IST",Ashna,"CHANDIGARH,",CHANDIGARH,SKU:  DN-0WDX-VYOT,"Women's Set of 5 Multicolor Pure Leather Single Lipstick Cases with Mirror, Handy and Compact Handcrafted Shantiniketan Block Printed Jewelry Boxes",1,,₹84.96,,Delivered to buyer
402-5940762-2914747,"Sun, 2 Jan, 2022, 3:01 pm IST",Swathi,"Visakhapatnam,",ANDHRA PRADESH,SKU:  0M-RFE6-443C,Set of 3 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Green),1,₹475.00,₹84.96,,Delivered to buyer
407-6814126-3628337,"Wed, 8 Dec, 2021, 11:54 pm IST",Aarti,"BILIMORA,",GUJARAT,SKU:  S1-A92Q-JU3X,100% Pure Leather Shantiniketan Clutch Purse: Traditional Block Print Bi-color Women's Wallets with Multiple Pockets and Zipper Compartments (1 pc) (G,1,₹399.00,₹84.96,Cash On Delivery,Delivered to buyer
171-3007462-1281169,"Thu, 17 Feb, 2022, 9:14 pm IST",Captain,"KOLKATA,",WEST BENGAL,SKU:  78-ZYA1-UMZH,Bright and Colorful Horse Shaped Piggy Coin Bank | Block Printed West Bengal's 100% Leather Handicrafts (Shantiniketan Art) | Money Bank for Kids | Ch,1,₹449.00,₹47.20,Cash On Delivery,Delivered to buyer
403-8215280-0912306,"Sun, 30 Jan, 2022, 1:37 pm IST",Gita,"CHENNAI,",TAMIL NADU,SKU:  CR-6E69-UXFW,"Bright and Colorful Shantiniketan Leather Elephant Piggy Coin Bank for Kids/Adults | Light-Weight Handcrafted Elephant Shaped Money Bank (Black, Large",1,,₹84.96,Cash On Delivery,Returned to seller
